year  t_anomaly_c
1850  -0.390
1851  -0.224
1852  -0.262
1853  -0.322
1854  -0.261
1855  -0.260
1856  -0.388
1857  -0.486
1858  -0.422
1859  -0.360
1860  -0.459
1861  -0.489
1862  -0.586
1863  -0.391
1864  -0.479
1865  -0.344
1866  -0.311
1867  -0.364
1868  -0.280
1869  -0.308
1870  -0.344
1871  -0.362
1872  -0.318
1873  -0.300
1874  -0.387
1875  -0.378
1876  -0.389
1877  -0.085
1878   0.003
1879  -0.261
1880  -0.289
1881  -0.228
1882  -0.287
1883  -0.342
1884  -0.502
1885  -0.485
1886  -0.454
1887  -0.494
1888  -0.342
1889  -0.208
1890  -0.458
1891  -0.367
1892  -0.472
1893  -0.441
1894  -0.413
1895  -0.378
1896  -0.212
1897  -0.218
1898  -0.446
1899  -0.300
1900  -0.184
1901  -0.230
1902  -0.379
1903  -0.458
1904  -0.510
1905  -0.345
1906  -0.261
1907  -0.424
1908  -0.462
1909  -0.512
1910  -0.492
1911  -0.510
1912  -0.436
1913  -0.403
1914  -0.228
1915  -0.160
1916  -0.397
1917  -0.497
1918  -0.362
1919  -0.301
1920  -0.263
1921  -0.205
1922  -0.294
1923  -0.274
1924  -0.263
1925  -0.228
1926  -0.090
1927  -0.194
1928  -0.170
1929  -0.350
1930  -0.128
1931  -0.069
1932  -0.119
1933  -0.279
1934  -0.141
1935  -0.174
1936  -0.132
1937   0.020
1938   0.014
1939  -0.011
1940   0.070
1941   0.056
1942   0.005
1943   0.038
1944   0.145
1945   0.017
1946  -0.066
1947   0.003
1948  -0.070
1949  -0.114
1950  -0.199
1951  -0.028
1952   0.045
1953   0.109
1954  -0.092
1955  -0.161
1956  -0.217
1957   0.010
1958   0.028
1959  -0.001
1960  -0.048
1961   0.027
1962  -0.001
1963   0.036
1964  -0.240
1965  -0.142
1966  -0.074
1967  -0.037
1968  -0.096
1969   0.044
1970  -0.017
1971  -0.154
1972  -0.070
1973   0.058
1974  -0.178
1975  -0.122
1976  -0.233
1977   0.059
1978  -0.053
1979   0.031
1980   0.140
1981   0.186
1982  -0.009
1983   0.177
1984   0.008
1985  -0.008
1986   0.036
1987   0.169
1988   0.220
1989   0.110
1990   0.298
1991   0.285
1992   0.094
1993   0.135
1994   0.204
1995   0.330
1996   0.227
1997   0.378
1998   0.530
1999   0.286
2000   0.301
2001   0.453
2002   0.518
2003   0.518
2004   0.435
2005   0.584
2006   0.535
2007   0.561
2008   0.427
2009   0.551
2010   0.630
2011   0.493
2012   0.515
2013   0.549
2014   0.618
2015   0.758
2016   0.870
2017   0.734
2018   0.677
