year,eastern_pacific,north_atlantic,indian_ocean,south_atlantic
1871,24.76,5.03,26.897,18.417
1872,24.593,5.0167,26.503,18.22
1873,24.04,5.0067,26.55,17.483
1874,23.727,5.0933,26.5,18.077
1875,24.353,5.1933,26.723,17.473
1876,24.043,5.7667,26.087,17.983
1877,25.613,6.0133,26.893,17.853
1878,27.823,5.9133,27.123,18.533
1879,24.953,6.5067,26.817,17.96
1880,24.243,5.32,26.35,18.523
1881,25.323,6.07,26.873,18.01
1882,24.54,5.4867,26.883,17.84
1883,24.677,5.4433,26.667,18.377
1884,24.697,4.9967,26.55,18.04
1885,25.643,4.92,26.743,17.803
1886,25.223,5.25,26.787,18.72
1887,24.093,5.38,26.497,18.23
1888,25.487,6.4133,26.127,17.783
1889,26.94,5.9467,27.18,18.373
1890,23.61,5.6067,26.47,18.643
1891,24.923,5.9233,26.727,17.833
1892,24.917,5.25,27.017,17.51
1893,23.513,5.9267,26.047,18.083
1894,24.463,5.5867,26.72,18.26
1895,24.45,5.49,27.053,17.763
1896,25.557,5.3133,26.817,18.093
1897,26.763,5.5533,26.907,17.97
1898,24.857,5.7533,26.367,18.82
1899,24.717,5.98,26.25,17.713
1900,26.52,5.9767,27.03,17.693
1901,25.567,5.3367,26.407,17.973
1902,25.467,5.6767,26.51,18.723
1903,26.24,5.9467,26.427,18.05
1904,24.49,4.8433,26.227,18.087
1905,25.993,5.0767,26.74,18.1
1906,26.23,5.01,26.953,18.59
1907,24.477,5.55,26.45,18.34
1908,25.147,5.23,26.607,18.273
1909,24.403,5.5267,26.32,18.117
1910,24.277,5.7333,26.76,17.937
1911,24.343,5.2267,26.73,17.777
1912,26.587,5.34,26.953,17.91
1913,25.167,5.06,26.673,17.807
1914,26.03,4.5567,26.88,18.043
1915,25.987,5.18,26.81,18.343
1916,24.517,5.8233,26.67,17.98
1917,23.547,5.7867,26.713,17.543
1918,24.2,6.0033,26.09,17.693
1919,26.503,4.8633,27.14,17.913
1920,25.727,5.0967,26.643,17.55
1921,25.333,4.8433,26.64,18.19
1922,24.547,5.3233,26.45,18.357
1923,24.53,5.2833,26.42,18.3
1924,25.55,5.4833,27.083,17.307
1925,24.58,5.38,26.567,17.513
1926,26.4,6.03,27.1,17.627
1927,25.477,5.8033,26.61,18.433
1928,25.3,5.55,26.577,17.53
1929,25.02,5.5333,26.407,18.05
1930,25.227,5.0067,26.64,18.163
1931,26.687,5.61,27.2,17.837
1932,25.013,5.7867,26.397,18.183
1933,25.05,5.3233,27.077,17.9
1934,24.64,5.5267,26.243,18.003
1935,24.737,5.31,27.243,17.797
1936,25.58,5.5967,26.977,17.867
1937,25.61,5.37,26.973,18.683
1938,25.303,5.6,27.08,17.717
1939,24.407,5.4633,27.043,18.283
1940,26.033,5.6933,27.077,17.59
1941,26.633,5.8233,27.287,18.497
1942,25.803,5.68,27.25,18.4
1943,24.427,6.02,26.513,18.45
1944,25.193,5.4333,26.427,18.53
1945,24.84,5.62,27.14,18.42
1946,24.473,5.75,27.053,18.173
1947,25.11,5.3267,26.677,18.177
1948,25.457,5.6133,26.627,17.853
1949,25,4.9567,26.72,18.047
